multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgANKRD20A1_3	sgACTR3B_3	NA	sgMGAT4D_1	NA	sgARHGAP26_2
sgANKRD20A1_4	sgACTR3C_3	NA	sgMGST1_2	NA	sgARHGAP42_2
sgANKRD20A2_1	sgACTR3C_4	NA	sgMPEG1_4	NA	sgARHGEF25_2
sgANKRD20A2_2	sgACTR3_4	NA	sgMS4A8_4	NA	sgARHGEF26_2
sgANKRD20A2_4	sgACY1_4	NA	sgMYBL2_2	NA	sgARIH2OS_1
sgANKRD20A3_1	sgADAM15_2	NA	sgNFE2_1	NA	sgARIH2OS_2
sgANKRD20A3_2	sgADAM21_2	NA	sgNUCB1_2	NA	sgARIH2OS_3
sgANKRD20A3_3	sgADAM21_3	NA	sgNon-Targeting Control_429	NA	sgARIH2OS_4
sgANKRD20A3_4	sgADAM21_4	NA	sgOBSCN_4	NA	sgARL16_4
sgANKRD20A4_1	sgADAMTS14_1	NA	sgOR4S2_4	NA	sgARL6IP4_2
sgANKRD20A4_2	sgADAMTS20_3	NA	sgOR52I2_4	NA	sgARL6IP4_3
sgANKRD20A4_4	sgADAMTS7_2	NA	sgOR8B12_2	NA	sgARL6IP4_4
sgANKRD30A_1	sgADAMTS8_2	NA	sgPA2G4_1	NA	sgARMC3_4
sgANKRD30A_2	sgADAMTSL3_1	NA	sgPABPN1_2	NA	sgARPC4_4
sgANKRD30A_4	sgADAMTSL3_3	NA	sgPBOV1_3	NA	sgARTN_2
sgANKRD36_3	sgADCYAP1_1	NA	sgPGLYRP3_3	NA	sgASAH1_4
sgANXA8L1_1	sgADGB_3	NA	sgPPP3R2_1	NA	sgASB10_4
sgANXA8L1_2	sgADGRE1_3	NA	sgPSMC1_4	NA	sgASB16_4
sgANXA8_1	sgADGRF2_4	NA	sgPTN_3	NA	sgASGR1_2
sgANXA8_2	sgADH1B_1	NA	sgPYY_1	NA	sgASIC2_1
sgAP1S2_2	sgADH1B_2	NA	sgRAB11A_1	NA	sgASIC2_2
sgAP1S2_3	sgADH1B_4	NA	sgRASSF1_4	NA	sgATCAY_3
sgAP3S1_1	sgADH1C_1	NA	sgRGS20_4	NA	sgATE1_1
sgAP3S1_2	sgADH1C_2	NA	sgRIMS1_1	NA	sgATE1_4
sgAP4S1_3	sgADH1C_3	NA	sgSLC25A15_1	NA	sgATP11AUN_1
sgAPBB1IP_3	sgADH5_1	NA	sgSLC35A5_3	NA	sgATP11AUN_2
sgAPELA_4	sgADH5_2	NA	sgSLIT1_3	NA	sgATP11AUN_3
sgAPOBEC3A_1	sgADH5_3	NA	sgSMC6_1	NA	sgATP11AUN_4
sgAPOBEC3F_2	sgADH5_4	NA	sgSRA1_3	NA	sgATP2C2_1
sgAPOC1_1	sgADK_2	NA	sgSSBP2_3	NA	sgATP5C1_4
sgAQP12A_4	sgADORA2B_3	NA	sgST6GALNAC2_3	NA	sgATP6AP1L_1
sgAQP12B_2	sgADPGK_3	NA	sgSTMN1_2	NA	sgATP6AP1L_2
sgAQP12B_3	sgADRA1A_1	NA	sgSUMO4_1	NA	sgATP6AP1L_3
sgAQP12B_4	sgADSS_2	NA	sgTADA3_2	NA	sgATP6AP1L_4
sgAQP7_4	sgADSS_4	NA	sgTDRD5_3	NA	sgATP6V0E2_1
sgARHGAP11B_2	sgAEN_1	NA	sgTIMM10_4	NA	sgATP6V1F_2
sgARHGAP11B_3	sgAEN_3	NA	sgTMEM252_4	NA	sgATP7A_4
sgARHGAP11B_4	sgAFF4_3	NA	sgTMEM35_3	NA	sgATP9A_1
sgARHGEF35_1	sgAFG3L2_2	NA	sgTPTE2_4	NA	sgATXN2_4
sgARHGEF35_2	sgAGAP11_2	NA	sgTREML4_1	NA	sgATXN3_1
sgARHGEF35_3	sgAGAP11_3	NA	sgTRIQK_3	NA	sgATXN3_3
sgARHGEF35_4	sgAGAP11_4	NA	sgUBE2H_3	NA	sgATXN3_4
sgARID3B_3	sgAGAP1_4	NA	sgULBP1_3	NA	sgB2M_3
sgARL17A_1	sgAGAP5_3	NA	sgVPS37B_2	NA	sgB4GALT1_4
sgARL17A_2	sgAGAP5_4	NA	sgWBSCR28_4	NA	sgBAALC_3
sgARL17A_3	sgAGAP6_3	NA	sgWDR75_3	NA	sgBAIAP2_2
sgARL17A_4	sgAGAP6_4	NA	sgWSCD2_4	NA	sgBANF2_2
sgARL17B_1	sgAGK_1	NA	sgXPA_2	NA	sgBCAN_4
sgARL17B_2	sgAGO1_1	NA	sgZCRB1_4	NA	sgBCAS4_3
sgARL17B_3	sgAGPAT6_1	NA	sgZNF12_1	NA	sgBCL2L12_1
sgARL17B_4	sgAHCTF1_1	NA	sgZNF140_1	NA	sgBCL2L12_4
sgARL2BP_4	sgAHCTF1_3	NA	sgZNF362_2	NA	sgBHMT2_3
sgARL4A_1	sgAHCTF1_4	NA	sgZNF493_1	NA	sgBIRC8_2
sgARL4A_3	sgAHCY_3	NA	sgZNF566_4	NA	sgBIRC8_4
sgARL4A_4	sgAHNAK2_1	NA	sgZNF628_3	NA	sgBLNK_2
sgARL5A_4	sgAHNAK2_2	NA	sgZNF761_3	NA	sgBLVRB_2
sgARL6IP1_2	sgAHNAK2_3	NA	sgZNF812_3	NA	sgBMX_2
sgARMC10_1	sgAIF1L_3	NA	NA	NA	sgBNIP2_2
sgARMC10_3	sgAIFM1_2	NA	NA	NA	sgBNIP2_3
sgARPP19_1	sgAIM2_1	NA	NA	NA	sgBNIP3_1
sgARPP19_4	sgAIMP2_2	NA	NA	NA	sgBPI_4
sgASAH2B_1	sgAIPL1_4	NA	NA	NA	sgBRI3BP_2
sgASAH2B_3	sgAK3_3	NA	NA	NA	sgBSX_1
sgASAH2B_4	sgAK4_4	NA	NA	NA	sgBTBD19_3
sgASMTL_1	sgAK5_1	NA	NA	NA	sgBTNL10_1
sgASMTL_2	sgAK6_1	NA	NA	NA	sgBTNL10_2
sgASMTL_3	sgAK6_3	NA	NA	NA	sgBTNL10_3
sgASMTL_4	sgAK6_4	NA	NA	NA	sgBTNL10_4
sgASMT_1	sgAKAP17A_3	NA	NA	NA	sgC10orf111_1
sgASMT_2	sgAKAP5_1	NA	NA	NA	sgC10orf111_2
sgASMT_3	sgAKIRIN2_1	NA	NA	NA	sgC10orf111_3
sgASMT_4	sgAKR1B10_1	NA	NA	NA	sgC10orf111_4
sgATP5E_3	sgAKR1B10_3	NA	NA	NA	sgC10orf113_1
sgATP5E_4	sgAKR1B10_4	NA	NA	NA	sgC10orf113_2
sgATP5H_2	sgAKR1B15_2	NA	NA	NA	sgC10orf113_3
sgATP5H_4	sgAKR1B15_3	NA	NA	NA	sgC10orf113_4
sgATP5J2_1	sgAKR1B1_1	NA	NA	NA	sgC10orf126_1
sgATP5J2_3	sgAKR1B1_3	NA	NA	NA	sgC10orf126_2
sgATP5L2_2	sgAKR1C1_1	NA	NA	NA	sgC10orf126_3
sgATP5L_1	sgAKR1C1_2	NA	NA	NA	sgC10orf126_4
sgATP5L_3	sgAKR1C1_3	NA	NA	NA	sgC10orf142_1
sgB3GNTL1_1	sgAKR1C2_1	NA	NA	NA	sgC10orf142_2
sgB3GNTL1_2	sgAKR1C2_3	NA	NA	NA	sgC10orf142_3
sgB3GNTL1_3	sgAKR1C2_4	NA	NA	NA	sgC10orf142_4
sgB3GNTL1_4	sgAKR1C3_1	NA	NA	NA	sgC10orf25_1
sgBAGE2_2	sgAKR1C3_4	NA	NA	NA	sgC10orf25_2
sgBAGE2_3	sgAKR1C4_2	NA	NA	NA	sgC10orf25_3
sgBAGE2_4	sgAKR1D1_1	NA	NA	NA	sgC10orf25_4
sgBANF1_1	sgAKR1D1_2	NA	NA	NA	sgC10orf55_1
sgBANF1_2	sgAKR7A2_2	NA	NA	NA	sgC10orf55_2
sgBANF1_3	sgAKR7A3_1	NA	NA	NA	sgC10orf55_3
sgBANF1_4	sgAKR7A3_3	NA	NA	NA	sgC10orf55_4
sgBBS5_1	sgAKR7A3_4	NA	NA	NA	sgC10orf91_1
sgBCL2L2-PABPN1_4	sgAKTIP_2	NA	NA	NA	sgC10orf91_2
sgBCLAF1_1	sgAKTIP_3	NA	NA	NA	sgC10orf91_3
sgBCLAF1_2	sgAKTIP_4	NA	NA	NA	sgC10orf91_4
sgBCLAF1_3	sgALAD_3	NA	NA	NA	sgC10orf95_1
sgBDH2_2	sgALAS2_3	NA	NA	NA	sgC10orf99_4
sgBDH2_3	sgALDH1B1_3	NA	NA	NA	sgC11orf31_1
sgBMP8A_2	sgALDH2_1	NA	NA	NA	sgC11orf40_1
sgBMP8B_3	sgALDH3B1_4	NA	NA	NA	sgC11orf40_2
sgBOLA2B_1	sgALDH3B2_2	NA	NA	NA	sgC11orf40_3
sgBOLA2B_2	sgALDH7A1_3	NA	NA	NA	sgC11orf40_4
sgBOLA2B_3	sgALDOA_1	NA	NA	NA	sgC11orf44_1
sgBOLA2B_4	sgALG10B_2	NA	NA	NA	sgC11orf44_2
sgBOLA2_1	sgALG10B_3	NA	NA	NA	sgC11orf44_3
sgBOLA2_2	sgALG10_2	NA	NA	NA	sgC11orf44_4
sgBOLA2_3	sgALG10_4	NA	NA	NA	sgC11orf45_1
sgBOLA2_4	sgALG11_1	NA	NA	NA	sgC11orf45_2
sgBPY2B_1	sgALG14_3	NA	NA	NA	sgC11orf45_3
sgBPY2B_2	sgALG1L2_1	NA	NA	NA	sgC11orf45_4
sgBPY2B_3	sgALG1L2_3	NA	NA	NA	sgC11orf80_3
sgBPY2B_4	sgALG1L_3	NA	NA	NA	sgC12orf45_2
sgBPY2C_1	sgALG1_2	NA	NA	NA	sgC12orf49_3
sgBPY2C_2	sgALG3_1	NA	NA	NA	sgC12orf76_1
sgBPY2C_3	sgALG8_4	NA	NA	NA	sgC12orf76_2
sgBPY2C_4	sgALKBH3_1	NA	NA	NA	sgC12orf76_3
sgBPY2_1	sgALKBH8_3	NA	NA	NA	sgC12orf77_1
sgBPY2_2	sgALOX15B_4	NA	NA	NA	sgC12orf77_2
sgBPY2_3	sgALOX5AP_1	NA	NA	NA	sgC12orf77_3
sgBPY2_4	sgALPI_1	NA	NA	NA	sgC12orf77_4
sgBTF3L4_1	sgALPI_4	NA	NA	NA	sgC12orf79_1
sgBTF3L4_2	sgALPPL2_1	NA	NA	NA	sgC12orf79_2
sgBTF3L4_3	sgALPPL2_2	NA	NA	NA	sgC12orf79_3
sgBTF3L4_4	sgALPPL2_4	NA	NA	NA	sgC12orf79_4
sgBTF3_1	sgALPP_1	NA	NA	NA	sgC12orf80_1
sgBTF3_2	sgALPP_2	NA	NA	NA	sgC12orf80_2
sgBTF3_3	sgALPP_3	NA	NA	NA	sgC12orf80_4
sgBTF3_4	sgALPP_4	NA	NA	NA	sgC14orf177_1
sgC11orf73_4	sgALYREF_4	NA	NA	NA	sgC14orf177_2
sgC1D_1	sgAMACR_2	NA	NA	NA	sgC14orf177_3
sgC1QTNF9B-AS1_1	sgAMBN_3	NA	NA	NA	sgC14orf177_4
sgC1QTNF9B-AS1_2	sgAMBN_4	NA	NA	NA	sgC14orf178_3
sgC1QTNF9B-AS1_3	sgAMD1_1	NA	NA	NA	sgC14orf178_4
sgC1QTNF9B-AS1_4	sgAMD1_4	NA	NA	NA	sgC15orf27_1
sgC1QTNF9B_1	sgAMDHD1_4	NA	NA	NA	sgC15orf32_1
sgC1QTNF9B_3	sgAMELX_1	NA	NA	NA	sgC15orf32_2
sgC1QTNF9B_4	sgAMELY_2	NA	NA	NA	sgC15orf32_3
sgC1QTNF9_2	sgAMELY_3	NA	NA	NA	sgC15orf52_1
sgC1QTNF9_3	sgAMH_3	NA	NA	NA	sgC15orf53_1
sgC1orf68_1	sgAMMECR1L_2	NA	NA	NA	sgC15orf53_2
sgC2orf27A_1	sgAMY2A_2	NA	NA	NA	sgC15orf53_3
sgC2orf27A_2	sgAMY2B_1	NA	NA	NA	sgC15orf53_4
sgC2orf27A_3	sgAMY2B_3	NA	NA	NA	sgC15orf54_1
sgC2orf27A_4	sgAMZ2_2	NA	NA	NA	sgC15orf54_2
sgC2orf27B_1	sgAMZ2_3	NA	NA	NA	sgC15orf54_3
sgC2orf27B_4	sgANAPC10_3	NA	NA	NA	sgC15orf54_4
sgC4A_1	sgANAPC1_1	NA	NA	NA	sgC15orf56_1
sgC4A_2	sgANAPC1_2	NA	NA	NA	sgC15orf56_2
sgC4A_3	sgANAPC1_3	NA	NA	NA	sgC15orf56_3
sgC4B_1	sgANGPT2_2	NA	NA	NA	sgC15orf56_4
sgC4B_2	sgANGPT2_4	NA	NA	NA	sgC16orf45_4
sgC4B_4	sgANG_3	NA	NA	NA	sgC16orf47_1
sgC4orf46_3	sgANHX_2	NA	NA	NA	sgC16orf47_2
sgC4orf46_4	sgANK1_3	NA	NA	NA	sgC16orf47_3
sgC8orf44_2	sgANKFN1_1	NA	NA	NA	sgC16orf47_4
sgC9orf129_1	sgANKRD11_3	NA	NA	NA	sgC16orf71_4
sgC9orf129_3	sgANKRD18B_2	NA	NA	NA	sgC16orf97_1
sgC9orf129_4	sgANKRD18B_3	NA	NA	NA	sgC16orf97_2
sgCACYBP_2	sgANKRD20A2_3	NA	NA	NA	sgC16orf97_3
sgCACYBP_3	sgANKRD20A4_3	NA	NA	NA	sgC16orf97_4
sgCBWD1_1	sgANKRD30A_3	NA	NA	NA	sgC17orf102_1
sgCBWD1_3	sgANKRD30B_1	NA	NA	NA	sgC17orf102_2
sgCBWD3_1	sgANKRD33B_4	NA	NA	NA	sgC17orf102_3
sgCBWD3_2	sgANKRD36B_1	NA	NA	NA	sgC17orf102_4
sgCBWD3_3	sgANKRD36B_2	NA	NA	NA	sgC17orf112_1
sgCBWD3_4	sgANKRD36B_4	NA	NA	NA	sgC17orf112_2
sgCBWD5_1	sgANKRD36_1	NA	NA	NA	sgC17orf112_3
sgCBWD5_2	sgANKRD36_2	NA	NA	NA	sgC17orf112_4
sgCBWD5_3	sgANKRD36_4	NA	NA	NA	sgC17orf51_1
sgCBWD5_4	sgANKRD49_2	NA	NA	NA	sgC17orf51_2
sgCBWD6_2	sgANKRD49_3	NA	NA	NA	sgC17orf51_3
sgCBWD6_3	sgANKRD55_4	NA	NA	NA	sgC17orf51_4
sgCBX1_2	sgANKRD60_1	NA	NA	NA	sgC17orf64_2
sgCCDC144A_1	sgANKRD62_3	NA	NA	NA	sgC17orf77_1
sgCCDC144A_4	sgANKS1B_1	NA	NA	NA	sgC17orf77_2
sgCCDC144NL_3	sgANKS1B_3	NA	NA	NA	sgC17orf77_3
sgCCDC58_3	sgANKS4B_4	NA	NA	NA	sgC17orf77_4
sgCCDC58_4	sgANO2_1	NA	NA	NA	sgC17orf82_1
sgCCDC74A_1	sgANO2_3	NA	NA	NA	sgC17orf82_2
sgCCDC74A_3	sgANOS1_3	NA	NA	NA	sgC17orf82_3
sgCCDC74A_4	sgANP32A_1	NA	NA	NA	sgC17orf82_4
sgCCDC74B_2	sgANP32B_3	NA	NA	NA	sgC17orf85_1
sgCCL3L3_1	sgANP32B_4	NA	NA	NA	sgC18orf65_1
sgCCL3L3_3	sgANP32C_3	NA	NA	NA	sgC18orf65_2
sgCCL3L3_4	sgANP32D_3	NA	NA	NA	sgC18orf65_3
sgCCL3_2	sgANP32D_4	NA	NA	NA	sgC18orf65_4
sgCCL4L2_1	sgANTXRL_1	NA	NA	NA	sgC19orf18_3
sgCCL4L2_2	sgANXA10_1	NA	NA	NA	sgC19orf47_2
sgCCL4L2_3	sgANXA2_3	NA	NA	NA	sgC19orf48_1
sgCCL4L2_4	sgANXA8L1_3	NA	NA	NA	sgC19orf48_2
sgCCL4_2	sgANXA8_4	NA	NA	NA	sgC19orf48_3
sgCCZ1B_1	sgAOC1_4	NA	NA	NA	sgC19orf48_4
sgCCZ1B_2	sgAOC3_1	NA	NA	NA	sgC19orf53_3
sgCCZ1B_3	sgAOC3_4	NA	NA	NA	sgC19orf81_4
sgCCZ1_1	sgAP1S2_4	NA	NA	NA	sgC1QBP_4
sgCCZ1_2	sgAP2B1_2	NA	NA	NA	sgC1QTNF2_2
sgCCZ1_4	sgAP2B1_4	NA	NA	NA	sgC1orf137_1
sgCD276_3	sgAP3M2_2	NA	NA	NA	sgC1orf137_2
sgCD300C_1	sgAP4S1_2	NA	NA	NA	sgC1orf137_3
sgCD8B_1	sgAP4S1_4	NA	NA	NA	sgC1orf137_4
sgCD99_1	sgAP5Z1_2	NA	NA	NA	sgC1orf162_1
sgCD99_2	sgAPBB2_2	NA	NA	NA	sgC1orf162_2
sgCD99_3	sgAPH1A_4	NA	NA	NA	sgC1orf195_1
sgCD99_4	sgAPI5_1	NA	NA	NA	sgC1orf195_2
sgCDC14B_4	sgAPI5_2	NA	NA	NA	sgC1orf195_3
sgCDC26_1	sgAPI5_4	NA	NA	NA	sgC1orf195_4
sgCDC26_3	sgAPIP_4	NA	NA	NA	sgC1orf204_1
sgCDC42_1	sgAPLF_1	NA	NA	NA	sgC1orf204_3
sgCDC42_2	sgAPLP1_2	NA	NA	NA	sgC1orf204_4
sgCDC42_4	sgAPOBEC3B_1	NA	NA	NA	sgC1orf226_3
sgCDK11B_2	sgAPOBEC3C_2	NA	NA	NA	sgC1orf229_1
