multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgAGAP6_2	sgADAMTSL3_4	NA	sgCYFIP1_4	NA	sgC11orf21_2
sgAGAP6_6	sgADAMTSL4_4	NA	sgCYP11B2_2	NA	sgC11orf80_1
sgAGAP9_1	sgADAT1_1	NA	sgCYP2R1_4	NA	sgC11orf80_3
sgAGAP9_2	sgADAT1_2	NA	sgDCAF8_3	NA	sgC12orf43_1
sgAGAP9_3	sgADAT3_3	NA	sgDHX15_3	NA	sgC12orf76_1
sgAGAP9_4	sgADCY1_1	NA	sgDIXDC1_1	NA	sgC12orf76_3
sgAGAP9_6	sgADCYAP1_1	NA	sgDNAJB13_1	NA	sgC12orf76_4
sgAGAP9_8	sgADD2_3	NA	sgDNAJC28_2	NA	sgC16orf62_2
sgAGBL2_1	sgADH1A_2	NA	sgDOHH_1	NA	sgC19orf47_1
sgAHCTF1_1	sgADH1A_4	NA	sgEFCAB3_3	NA	sgC1QTNF2_2
sgAHCTF1_3	sgADH1B_2	NA	sgEGFL8_1	NA	sgC1orf162_2
sgAHCTF1_4	sgADH1B_4	NA	sgEGLN2_1	NA	sgC20orf202_3
sgAHCY_2	sgADH4_3	NA	sgEID2_3	NA	sgC20orf202_4
sgAHCY_3	sgADH5_3	NA	sgELL2_3	NA	sgC21orf58_1
sgAHNAK2_2	sgADIPOR1_1	NA	sgENDOD1_4	NA	sgC22orf39_4
sgAHNAK2_4	sgADIPOR1_4	NA	sgERV3-1_4	NA	sgC2orf15_1
sgAHNAK2_5	sgADIPOR2_2	NA	sgESCO2_2	NA	sgC2orf15_2
sgAIDA_2	sgADK_1	NA	sgEXOSC10_2	NA	sgC2orf48_1
sgAIDA_3	sgADORA2B_4	NA	sgFAF2_1	NA	sgC2orf48_2
sgAIDA_4	sgADORA3_1	NA	sgFAM134B_2	NA	sgC2orf48_3
sgAIMP2_3	sgADPGK_3	NA	sgFAS_2	NA	sgC2orf48_4
sgAK2_1	sgADRA2A_3	NA	sgFKBP4_4	NA	sgC2orf66_1
sgAK2_2	sgADRA2C_4	NA	sgFOXJ3_1	NA	sgC2orf66_3
