multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgARPP19_1	sgACTR2_2	NA	sgFAM20B_2	NA	sgBLOC1S5_2
sgASAH2B_1	sgACTR2_3	NA	sgFHL5_4	NA	sgBLVRB_3
sgASAH2B_2	sgACTR3B_2	NA	sgGARIN6_2	NA	sgBMERB1_4
sgASAH2B_3	sgACTR3C_1	NA	sgGCAT_4	NA	sgBNC2_3
sgASAH2B_4	sgACTR3C_2	NA	sgGCNA_4	NA	sgBOLA3_1
sgASMTL_1	sgACTR3C_4	NA	sgGHRH_3	NA	sgBORCS5_1
sgASMTL_2	sgACTR3_3	NA	sgGNRH2_4	NA	sgBRAT1_2
sgASMTL_3	sgACY1_1	NA	sgGNS_1	NA	sgBRI3_4
sgASMTL_4	sgADAM21_4	NA	sgGOLIM4_2	NA	sgBUB1B-PAK6_2
sgASMT_1	sgADAMTS12_1	NA	sgGPR160_4	NA	sgBUB1B-PAK6_3
sgASMT_2	sgADAMTS20_2	NA	sgGRINA_3	NA	sgC11orf65_3
sgASMT_3	sgADAMTS7_4	NA	sgGSK3A_1	NA	sgC13orf46_3
sgASMT_4	sgADCK1_1	NA	sgGSTT2B_1	NA	sgC16orf74_4
sgATG12_4	sgADCY5_3	NA	sgGYPA_3	NA	sgC19orf47_2
sgATP5F1E_4	sgADCY8_4	NA	sgHADHA_4	NA	sgC1QBP_2
sgATP5MK_1	sgADGRA3_3	NA	sgHIBCH_2	NA	sgC1orf87_2
sgATP5MK_4	sgADGRA3_4	NA	sgHMX3_3	NA	sgC22orf15_3
sgATP5PD_3	sgADGRE1_1	NA	sgHSD17B4_2	NA	sgC2CD2_3
sgATP5PF_2	sgADGRE2_4	NA	sgID4_2	NA	sgC2orf80_3
sgATP5PF_4	sgADGRE5_2	NA	sgIL1RN_2	NA	sgC2orf80_4
sgB3GNTL1_1	sgADGRF1_2	NA	sgKCNIP3_2	NA	sgC5orf60_1
sgB3GNTL1_2	sgADGRG2_3	NA	sgKLHL6_1	NA	sgC5orf60_2
sgB3GNTL1_3	sgADH1A_1	NA	sgKPLCE_4	NA	sgC6orf52_2
sgB3GNTL1_4	sgADH1A_3	NA	sgKRTAP3-3_1	NA	sgC6orf58_4
sgBANF1_2	sgADH1B_1	NA	sgKRTAP4-3_4	NA	sgC7orf50_1
sgBANF1_3	sgADH1B_2	NA	sgKRTAP4-7_3	NA	sgC8orf74_2
sgBET1_2	sgADH1B_3	NA	sgLIF_3	NA	sgCACNA2D3_2
sgBMP8A_1	sgADH1C_1	NA	sgLIG4_2	NA	sgCALB1_3
sgBMP8A_3	sgADH1C_2	NA	sgLOC107986375_3	NA	sgCALHM2_3
sgBOLA2-SMG1P6_1	sgADH1C_3	NA	sgLOC112267968_4	NA	sgCALM3_2
sgBOLA2-SMG1P6_2	sgADH1C_4	NA	sgLOC124900172_4	NA	sgCAMK2G_3
sgBOLA2B_1	sgADH5_1	NA	sgLOC124901498_2	NA	sgCAMTA1_1
sgBOLA2B_2	sgADH5_2	NA	sgLOC124903570_1	NA	sgCAP1_3
sgBOLA2B_3	sgADIPOR1_1	NA	sgLOC124904903_4	NA	sgCAPN1_3
sgBOLA2B_4	sgADIPOR1_2	NA	sgLOC124905051_3	NA	sgCAPN11_1
sgBPY2_1	sgADISSP_3	NA	sgLRRC34_2	NA	sgCAPN6_4
sgBPY2_2	sgADK_4	NA	sgLRRC59_1	NA	sgCAPN8_2
sgBPY2_3	sgADORA1_3	NA	sgLSM14A_2	NA	sgCASKIN1_2
sgBPY2_4	sgADORA2B_2	NA	sgLYG2_4	NA	sgCASP12_1
sgBTF3L4_1	sgADPRH_1	NA	sgMAVS_2	NA	sgCASP12_3
sgBTF3L4_2	sgADRA2A_2	NA	sgMBD6_3	NA	sgCASP12_4
sgBTF3L4_3	sgADRA2A_3	NA	sgMCCC1_2	NA	sgCATSPER4_4
sgBTF3L4_4	sgADRA2A_4	NA	sgMDH1_4	NA	sgCAV2_3
sgBTF3_1	sgADRA2B_4	NA	sgMGST1_1	NA	sgCCDC141_4
sgC1D_1	sgADRB2_3	NA	sgMIPEP_3	NA	sgCCDC163_2
sgC1QTNF9B_2	sgADRM1_4	NA	sgMRPL51_1	NA	sgCCDC167_3
sgC1QTNF9B_3	sgADSS2_2	NA	sgMSR1_2	NA	sgCCDC62_4
sgC1QTNF9B_4	sgAFDN_3	NA	sgMYCBP_4	NA	sgCCDC92B_1
sgC1QTNF9_1	sgAFG3L2_1	NA	sgMYO10_4	NA	sgCCDC9B_3
sgC1QTNF9_2	sgAFG3L2_3	NA	sgNAP1L1_1	NA	sgCCL14_1
sgC4A_1	sgAGAP1_1	NA	sgNKX2-4_1	NA	sgCCL5_1
sgC4B_3	sgAGAP6_2	NA	sgNOP53_4	NA	sgCCN2_4
sgC5orf63_4	sgAGAP6_3	NA	sgNOXO1_2	NA	sgCCNYL1B_1
sgCACYBP_1	sgAGAP9_1	NA	sgNR5A2_3	NA	sgCCNYL1B_2
sgCACYBP_3	sgAGK_1	NA	sgNRK_1	NA	sgCCNYL1B_3
sgCACYBP_4	sgAGK_2	NA	sgNUP62_4	NA	sgCCSER1_1
sgCALM2_1	sgAGK_4	NA	sgONE_SITE_INTERGENIC_681	NA	sgCCT7_1
sgCARD16_3	sgAGRP_3	NA	sgOR4D11_3	NA	sgCD200R1L_2
sgCBX1_2	sgAGTR2_2	NA	sgOR6A2_4	NA	sgCD200R1L_4
sgCBX3_1	sgAGT_4	NA	sgOR6P1_4	NA	sgCD244_1
sgCCDC121_2	sgAHCTF1_1	NA	sgOTC_1	NA	sgCD247_2
sgCCDC121_3	sgAHCY_1	NA	sgPA2G4_4	NA	sgCD52_1
sgCCDC121_4	sgAHCY_4	NA	sgPBOV1_2	NA	sgCD96_1
