multi_target_guides	single_mismatch_guides	pam_distal_single_mismatch_guides	pam_distal_double_mismatch_guides	guides_not_target_anywhere	guides_not_target_exon
sgAK2_2	sgADAM29_4	NA	sgCAB39L_1	NA	sgBBIP1_8
sgAK2_3	sgADAM32_2	NA	sgCABS1_1	NA	sgBBIP1_9
sgAK2_4	sgADAM32_5	NA	sgCALCOCO2_2	NA	sgBCAS1_1
sgAK2_5	sgADAM8_1	NA	sgCAMTA1_4	NA	sgBCL2L11_17
sgAK3_1	sgADAMDEC1_5	NA	sgCAST_2	NA	sgBCL2L12_1
sgAK3_5	sgADAMTS7_5	NA	sgCBR4_1	NA	sgBCL2L12_2
sgAK4_1	sgADAMTSL3_5	NA	sgCCDC124_2	NA	sgBEAN1_10
sgAK4_3	sgADCY5_4	NA	sgCCDC146_4	NA	sgBEAN1_11
sgAKAP17A_1	sgADCY8_4	NA	sgCCDC15_4	NA	sgBEAN1_12
sgAKAP17A_2	sgADD1_2	NA	sgCCDC172_1	NA	sgBEAN1_13
sgAKAP17A_4	sgADH1B_1	NA	sgCCDC179_1	NA	sgBFSP2_5
sgAKAP17A_5	sgADH1B_5	NA	sgCCDC51_4	NA	sgBID_11
sgAKR1B15_1	sgADH6_2	NA	sgCCKAR_2	NA	sgBNIP2_3
sgAKR1B15_2	sgADI1_4	NA	sgCCL13_4	NA	sgBNIP2_4
sgAKR1B1_3	sgADIPOR1_5	NA	sgCCL17_3	NA	sgBNIP2_5
sgAKR1B1_4	sgADK_4	NA	sgCCL18_2	NA	sgBPIFB6_3
sgAKR1B1_5	sgADM2_4	NA	sgCCNE2_1	NA	sgBTG4_2
sgAKR1C1_2	sgADORA1_1	NA	sgCCT2_4	NA	sgC10orf113_2
sgAKR1C1_4	sgADORA3_1	NA	sgCD300A_2	NA	sgC10orf113_3
sgAKR1C3_1	sgADORA3_4	NA	sgCD33_9	NA	sgC10orf113_4
sgAKR7A3_2	sgADRB1_2	NA	sgCD3E_4	NA	sgC10orf113_5
